Country,AgriLand,ChildrenPerWoman,DemocracyScore,Exports,FemaleParticipation,ForestArea,GDPpercapita,HealthSpendPerPerson,Hightotechnologyexports,Imports,IncomePerPerson,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,LiteracyRateAdult,LIteracyRateYouth,Populationdensity,ElectricityPerPerson,Taxrevenue,Tradebalance,Trafficdeaths,Urbanpopulationgrowth,YearlyCO2emission
Albania,42.84671533,4.809,-9,18.86336079,71.5,7690,1154.008464,54.30811764,1.334567619,40.2454334,9940.266564,0,71,41.82338964,6.606670493,67.595,95.93863978,98.83120696,77.975,530.4848333,13.35086973,-21.38207261,12.34991932,2.998426716,5643
Algeria,19.06001495,7.591,-9,20.44956199,29.18571445,15790,1527.646365,76.23031739,1.500884466,25.72686831,12547.9913,32.67,141,-4.606461074,3.826979825,51.195,0,0,6.13,29.54303724,45.25581817,-5.27730632,18.18716621,3.44059848,28347
AmericanSamoa,20,0,0,0,0,180,0,0,0,0,18574.91232,0,0,0,0,0,0,0,143.065,0,0,0,0,2.552461257,0
Andorra,53.19148936,0,0,0,0,160,18646.94486,1433.020707,17.06003868,0,99240.02469,0,4.05,8.517923869,27.23584776,0,0,0,57.686,0,0,0,12.65543461,6.819870528,513.3333333
Angola,46.04154969,7.232,-4.111111111,70.32448792,78.4857145,597280,376.8935259,41.61213011,0,54.82159221,16419.86401,44.74,129.53,1022.529697,1.292659027,37.846,0,0,4.957,74.65475844,0,15.15239734,68.28264618,7.306213572,4506.333333
Anguilla,0,0,0,0,0,0,0,0,0,0,18094.66146,0,0,0,0,0,95.40709812,99.11373708,71.495,0,0,0,0,0,45.22222222
AntiguaandBarbuda,27.27272727,3.328,0,70.07670997,0,100,9070.635111,301.9265977,0.092391158,80.7752112,13001.2336,0,13.55,6.759186766,27.15930476,66.558,0,0,152.532,0,0,-12.33741425,7.480210304,1.525865599,374
Argentina,47.14746646,3.148,-9,7.197765838,47.97142846,318610,6867.510789,337.4737866,7.926679473,6.837877359,28329.11558,35.285,57.8,64.24478595,10.26658765,67.044,93.91285971,96.88254343,8.917,225.7890357,14.19743288,0.35988848,11.4181445,2.217173663,90148.66667
Armenia,49.51544944,3.032,-7,26.24359333,83.11428506,3040,806.6710134,23.76120382,2.45954213,50.74939783,7959.940202,35.22,38.55,119.8649039,3.126012874,70.604,0,0,88.707,547.3746067,15.65908219,-24.5058045,11.5320797,3.624212536,3864.666667
Aruba,11.11111111,2.691,0,120.5732437,0,4,18178.42694,0,0,141.8482294,14819.27402,0,0,4.323309122,18.8528014,69.851,97.29125212,99.02641305,332.494,0,0,-21.27498559,0,0.657375871,1821.111111
Australia,63.06145295,2.743,10,12.82633626,64.35714286,1549200,13034.08135,1771.000618,11.54388566,11.90380851,50365.88845,0,16.8,6.167764295,30.88848317,71.93,0,0,1.71,1362.543157,23.76498065,0.785282079,27.56611,1.991665175,157472.3333
